country,city,location,coordinates,measurements_parameter,measurements_sourcename,measurements_unit,measurements_value,measurements_lastupdated,country_name_en
DE,Dr. Steffen Freitag,Lüdenscheid Lennestraße,"{'lon': 7.643095000138204, 'lat': 51.22760899972971}",PM10,eea,µg/m³,12.029,2024-09-14T23:00:00+02:00,Germany
DE,Sonnenbühl,Schwäbische Alb,"{'lon': 9.207639000105223, 'lat': 48.34577799977753}",NO2,eea,µg/m³,4.859,2024-09-14T23:00:00+02:00,Germany
DE,Hamburg,Hamburg Sternschanze,"{'lon': 9.967881999753526, 'lat': 53.564140000083924}",NO,eea,µg/m³,2.0,2024-03-11T12:00:00+01:00,Germany
DE,Plauen,Plauen-Süd,"{'lon': 12.138053999988704, 'lat': 50.486137999993126}",PM2.5,eea,µg/m³,6.748,2024-09-14T23:00:00+02:00,Germany
DE,Oberried,Schauinsland,"{'lon': 7.903977000163978, 'lat': 47.91286600022655}",PM2.5,eea,µg/m³,2.13,2024-09-14T23:00:00+02:00,Germany
DE,Göttingen,Göttingen-Verkehr,"{'lon': 9.928329999752227, 'lat': 51.53020000002224}",CO,eea,µg/m³,222.236,2024-03-11T12:00:00+01:00,Germany
DE,Stuttgart,Stuttgart Am Neckartor,"{'lon': 9.191010000216625, 'lat': 48.78809999993044}",PM10,eea,µg/m³,6.9,2024-09-14T23:00:00+02:00,Germany
DE,Stuttgart,Stuttgart Am Neckartor,"{'lon': 9.191010000216625, 'lat': 48.78809999993044}",NO2,eea,µg/m³,22.912,2024-09-14T23:00:00+02:00,Germany
DE,Stuttgart,Stuttgart Am Neckartor,"{'lon': 9.191010000216625, 'lat': 48.78809999993044}",NO,eea,µg/m³,7.6,2024-03-11T12:00:00+01:00,Germany
DE,Darmstadt,Darmstadt,"{'lon': 8.664619000020453, 'lat': 49.87230299993746}",O3,eea,µg/m³,39.4984055,2024-09-14T23:00:00+02:00,Germany
DE,Rövershagen,Rostock-Stuthof,"{'lon': 12.17410500032478, 'lat': 54.16155500022571}",SO2,eea,µg/m³,0.27,2024-09-14T23:00:00+02:00,Germany
DE,Hamburg,Hamburg Stresemannstraße,"{'lon': 9.95723599974441, 'lat': 53.56063199988809}",NO,eea,µg/m³,42.124,2024-03-11T12:00:00+01:00,Germany
DE,Güstrow,Güstrow,"{'lon': 12.175512000113262, 'lat': 53.78175000011868}",O3,eea,µg/m³,62.02,2024-09-14T23:00:00+02:00,Germany
DE,Eggebek,Eggebek,"{'lon': 9.36367399969264, 'lat': 54.616668999975545}",NO2,eea,µg/m³,9.889,2024-09-14T23:00:00+02:00,Germany
DE,Cottbus,Cottbus,"{'lon': 14.334470000076749, 'lat': 51.746847999829114}",NO2,eea,µg/m³,4.0,2024-09-14T23:00:00+02:00,Germany
DE,Meiningen,Dreißigacker,"{'lon': 10.37529899992849, 'lat': 50.56175400020508}",PM10,eea,µg/m³,5.91996,2024-09-14T23:00:00+02:00,Germany
DE,Neuwied,Neuwied-Hafenstraße,"{'lon': 7.481378000071871, 'lat': 50.42468500000246}",SO2,eea,µg/m³,1.000125,2024-09-14T00:00:00+02:00,Germany
DE,Elsdorf,Elsdorf-Berrendorf,"{'lon': 6.582205000027495, 'lat': 50.92710699979505}",NO,eea,µg/m³,0.147,2024-03-11T12:00:00+01:00,Germany
DE,Trier,Trier-Pfalzel,"{'lon': 6.690257999679976, 'lat': 49.784022999753006}",PM2.5,eea,µg/m³,4.005595,2024-09-13T08:00:00+02:00,Germany
